what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1284457154468
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1284457154468
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1284457154468
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1284457154468
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1284457154468
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1284457154468
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1284457154468
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1284457154468
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1284457154468
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1284457154468
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1284457154468
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1284457154468
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1284457154468
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1284457154468
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1284457154468
started,bundle,org.eclipse.e4.ui.css.swt,0.9.1.v20100726-2030,"org.eclipse.e4.ui.css.swt",1284457154468
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.9.0.v20100723-1830,"org.eclipse.e4.ui.css.swt.theme",1284457154468
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1284457154468
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1284457154468
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1284457154468
started,bundle,org.eclipse.jdt.core,3.6.0.xx-20100811-1700-e36,"org.eclipse.jdt.core",1284457154468
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1284457154468
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1284457154468
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1284457154468
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1284457154468
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1284457154468
started,bundle,org.eclipse.egit.core,0.8.4,"org.eclipse.egit.core",1284457154468
started,bundle,org.eclipse.egit.ui,0.8.4,"org.eclipse.egit.ui",1284457154468
started,bundle,org.eclipse.jgit,0.8.4,"org.eclipse.jgit",1284457154468
started,bundle,org.eclipse.contribution.weaving.jdt,2.1.1.e36x-20100831-1400,"org.eclipse.contribution.weaving.jdt",1284457154468
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.0.v20100503,"org.eclipse.equinox.weaving.aspectj",1284457154468
started,bundle,org.scala-ide.sdt.aspects,1.0.0.201009010421,"org.scala-ide.sdt.aspects",1284457154468
started,bundle,org.scala-ide.sdt.core,1.0.0.201009010421,"org.scala-ide.sdt.core",1284457154468
os,sysinfo,,,"win32",1284457154468
arch,sysinfo,,,"x86",1284457154468
ws,sysinfo,,,"win32",1284457154468
locale,sysinfo,,,"de_DE",1284457154468
processors,sysinfo,,,"2",1284457154468
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284457154468
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1284457154468
java.specification.name,sysinfo,,,"Java Platform API Specification",1284457154468
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284457154468
java.specification.version,sysinfo,,,"1.6",1284457154468
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284457154468
java.version,sysinfo,,,"1.6.0_21",1284457154468
java.vm.info,sysinfo,,,"mixed mode",1284457154468
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284457154468
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284457154468
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284457154468
java.vm.specification.version,sysinfo,,,"1.0",1284457154468
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284457154468
java.vm.version,sysinfo,,,"17.0-b17",1284457154468
started,bundle,org.eclipse.ui.resources.semantic,0.1.0.v20100506-0936,"org.eclipse.ui.resources.semantic",1284457154578
started,bundle,org.eclipse.core.resources.semantic,0.3.0.v20100506-0936,"org.eclipse.core.resources.semantic",1284457154578
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1284457159859
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1284457163968
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1284457167312
